Category,Ministry,Scheme,Actuals_2021,BE_2022,BE_2023,Growth_percent
Demand No. 1,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,13549.24,15500,13625,-12.09677419
Demand No. 1,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,21476.93,0,0,
Demand No. 1,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0,19500,23000,17.94871795
Demand No. 1,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),2288.33,1500,0.01,-99.99933333
Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),0,1,0.01,-99
Demand No. 1,Department of Agriculture and Farmers Welfare,Distribution of Pulses to State / Union Territories for Welfare Schemes,50,9,800,8788.888889
Demand No. 1,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,691.3,0,0,
Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),66825.11,68000,60000,-11.76470588
Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Man Dhan Yojana,39.5,100,100,0
Demand No. 1,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",427.04,500,955,91
Demand No. 1,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),21.43,500,500,0
Demand No. 1,Department of Agriculture and Farmers Welfare,National Beekeeping Honey Mission (NBHM),0,100,0.01,-99.99
Demand No. 2,Department of Agricultural Research and Education,Agricultural Extension,283.71,243.72,327,34.17035943
Demand No. 2,Department of Agricultural Research and Education,Agricultural Engineering,54.9,48.3,65,34.57556936
Demand No. 2,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,167.56,144.9,240,65.63146998
Demand No. 2,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,47,40.87,0,-100
Demand No. 2,Department of Agricultural Research and Education,Crop Science,603.28,526.08,714.41,35.79873783
Demand No. 2,Department of Agricultural Research and Education,Horticultural Science,181.46,157.53,212,34.57754079
Demand No. 2,Department of Agricultural Research and Education,National Agricultural Science Fund,42,35.67,0,-100
Demand No. 2,Department of Agricultural Research and Education,Animal Science,257.59,224.41,300,33.68388218
Demand No. 2,Department of Agricultural Research and Education,Fisheries Science,137.99,118.89,150,26.16704517
Demand No. 2,Department of Agricultural Research and Education,Agricultural Universities and Institutions,299.94,263.77,322.74,22.35659855
Demand No. 2,Department of Agricultural Research and Education,Economic Statistics and Management,27.65,24.51,0,-100
Demand No. 2,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),224.63,167.18,92.26,-44.81397296
Demand No. 3,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),1308.77,1258.94,1012.9,-19.54342542
Demand No. 3,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),232.92,244.04,214.41,-12.14145222
Demand No. 3,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),89.26,100,140.69,40.69
Demand No. 3,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),144.06,171.37,221.75,29.39837778
Demand No. 3,Atomic Energy,Grants to other Institutions,61.88,71,100,40.84507042
Demand No. 3,Atomic Energy,Fuel Recycle Projects (NRB),646.13,800,805.21,0.65125
Demand No. 3,Atomic Energy,Housing Projects,216.74,182.5,206.9,13.36986301
Demand No. 3,Atomic Energy,Improvement/Modifications of Heavy water projects,33.42,25.97,50.23,93.4154794
Demand No. 3,Atomic Energy,Feedstock,1080.02,1419.16,1599.47,12.7054032
Demand No. 3,Atomic Energy,Radiation and Isotopes Project (BRIT),27.14,38.71,44.14,14.02738311
Demand No. 3,Atomic Energy,Nuclear Power Projects,78.39,294.39,442.28,50.23608139
Demand No. 3,Atomic Energy,Nuclear Fuel Fabrication Projects,639.67,597.5,763.61,27.80083682
Demand No. 3,Atomic Energy,Atomic Energy Regulatory Board Expansion Project,23.56,44.72,15.81,-64.64669052
Demand No. 3,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),34.99,67.21,73.62,9.537271239
Demand No. 3,Atomic Energy,Research and Development Projects,1256.3,963.02,839.68,-12.80762601
Demand No. 3,Atomic Energy,Industries and Minerals Projects,79,109,85.25,-21.78899083
Demand No. 3,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,430.82,660,515.5,-21.89393939
Demand No. 3,Atomic Energy,Nuclear Fuel Inventory,-1732.1,388.29,-168.26,-143.3335909
Demand No. 4,Ministry of Ayush,Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,0.02,0,0,
Demand No. 4,Ministry of Ayush,AYUSH and Public Health,0.51,0,0,
Demand No. 4,Ministry of Ayush,"Information, Education and Communication",30.04,43.88,41,-6.563354603
Demand No. 4,Ministry of Ayush,Promotion of International Cooperation,62.94,86.1,44.27,-48.58304297
Demand No. 4,Ministry of Ayush,Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),4.8,0,0,
Demand No. 4,Ministry of Ayush,Extra Mural Research Projects through Research Institutes etc.,2.14,0,0,
Demand No. 4,Ministry of Ayush,Champion Services Sector Scheme,19.13,60.22,21.68,-63.99867154
Demand No. 4,Ministry of Ayush,Programme on 'Ayurveda-Biology Integrated Health Research',0,0.5,0,-100
Demand No. 4,Ministry of Ayush,Pradhan Mantri VRIKSH AYUSH Yojana,0,1,0,-100
Demand No. 4,Ministry of Ayush,AYURGYAN,4.49,15.5,9,-41.93548387
Demand No. 4,Ministry of Ayush,Ayurswasthay Yojana,35,27.79,6,-78.40949982
Demand No. 4,Ministry of Ayush,AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),1.77,23.5,20,-14.89361702
Demand No. 4,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",31.3,48.49,43.49,-10.31140441
Demand No. 5,Department of Chemicals and Petrochemicals,Chemical Promotion and Development Scheme,3.14,3,0,-100
Demand No. 5,Department of Chemicals and Petrochemicals,Promotion of Petrochemicals,51.57,48.5,0,-100
Demand No. 5,Department of Chemicals and Petrochemicals,New Schemes of Petrochemicals,0,0,22,
Demand No. 6,Department of Fertilisers,Urea Subsidy,100988.13,63222.32,131100.12,107.3636652
Demand No. 6,Department of Fertilisers,Nutrient Based Subsidy,52769.97,42000,44000,4.761904762
Demand No. 6,Department of Fertilisers,Scheme for promotion of flagging of merchant ships in India,0,0,3.25,
Demand No. 7,Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),350,350,550,57.14285714
Demand No. 7,Department of Pharmaceuticals,Jan Aushadhi Scheme,68.5,72.5,115,58.62068966
Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Industry,157.08,0,0,
Demand No. 7,Department of Pharmaceuticals,Consumer Awareness Publicity and Price Monitoring,2.81,6,5,-16.66666667
Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,0,100,1250,1150
Demand No. 7,Department of Pharmaceuticals,Production Linked Incentive Schemes,0,1629,1200,-26.33517495
Demand No. 8,Ministry of Civil Aviation,Regional Connectivity Scheme,980.27,600.71,1244.07,107.0999317
Demand No. 8,Ministry of Civil Aviation,Purchase of two new aircraft for Special Extra Section Flight operations.,129.89,39.32,0.01,-99.97456765
Demand No. 8,Ministry of Civil Aviation,Air India Asset Holding Limited (SPV),1378,9259.91,0,-100
Demand No. 8,Ministry of Civil Aviation,Krishi Udaan Scheme,0,0.01,0.01,0
Demand No. 8,Ministry of Civil Aviation,Production Linked Incentive (PLI) Scheme for Drone and Drone Component,0,0,33,
Demand No. 9,Ministry of Coal,Research and Development,8.35,10,21,110
Demand No. 9,Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines",62.68,54.54,92.5,69.60029336
Demand No. 9,Ministry of Coal,Exploration of Coal and Lignite,425.05,250,0,-100
Demand No. 10,Department of Commerce,Agricultural Product Export Development Authority (APEDA),85,80,80,0
Demand No. 10,Department of Commerce,Marine Product Export Development Authority (MPEDA),126.05,116,100,-13.79310345
Demand No. 10,Department of Commerce,Trade Infrastructure for Export Schemes (TIES),74.99,71,71,0
Demand No. 10,Department of Commerce,Duty Drawback Scheme,234.07,221,180,-18.5520362
Demand No. 10,Department of Commerce,Tea Board,157.37,131.92,135,2.334748332
Demand No. 10,Department of Commerce,Coffee Board,164.57,226.21,226.2,-0.004420671
Demand No. 10,Department of Commerce,Rubber Board,263.95,268.76,268.76,0
Demand No. 10,Department of Commerce,Spices Board,115.5,115.5,115.5,0
Demand No. 10,Department of Commerce,Market Access Initiative,140,200,200,0
Demand No. 10,Department of Commerce,National Export Insurance Account,744,450,0,-100
Demand No. 10,Department of Commerce,Gems and Jewellery Sector,7.59,,0,
Demand No. 10,Department of Commerce,Investment in ECGC (Export Credit Guarantee Corporation),760,400,0.01,-99.9975
Demand No. 10,Department of Commerce,Interest Equalisation Scheme,3487.97,2621.5,2932,11.84436391
Demand No. 10,Department of Commerce,Project Development Fund,0,16.5,1.99,-87.93939394
Demand No. 10,Department of Commerce,Champion Service Sector Scheme on Transportation and Logistics,0,0.01,0,-100
Demand No. 10,Department of Commerce,Centre For Research on International Trade-CRIT (Centre for WTO Studies),21,41,41,0
Demand No. 10,Department of Commerce,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,249.99,250,0.01,-99.996
Demand No. 11,Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),228.46,0,0,
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Footwear, Leather and Accessories Development Programme (FLADP)",0,208,250,20.19230769
Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),2.71,5.08,5,-1.57480315
Demand No. 11,Department for Promotion of Industry and Internal Trade,Price and Production Statistics,17.25,16.23,17.85,9.981515712
Demand No. 11,Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),859.1,1500,2000,33.33333333
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka",245.58,0,0,
Demand No. 11,Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,202.47,189,195,3.174603175
Demand No. 11,Department for Promotion of Industry and Internal Trade,Fund of Funds,1330,1000,1470,47
Demand No. 11,Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund,0,0,250,
Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India,20.18,50,30,-40
Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS),100,283.5,160,-43.56261023
Demand No. 11,Department for Promotion of Industry and Internal Trade,Ease of Doing Business,9.13,12,10,-16.66666667
Demand No. 11,Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),1.18,3.54,65,1736.158192
Demand No. 11,Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),180,20,200,900
Demand No. 11,Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,30,150,400,166.6666667
Demand No. 11,Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,382.95,300,50,-83.33333333
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",28.33,29.5,8,-72.88135593
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",43.41,110,50,-54.54545455
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",131.9,31.9,250,683.6990596
Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir,1.79,150,150,0
Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development of Ladakh, 2022",0,0,97.3,
